Index,Similar Digits to Pi,,Similar Digits to Pi,Index
0,0,,1,1
1,1,,10,8
2,2,,100,77
3,2,,1000,761
4,3,,10000,7656
5,4,,,
6,4,,,
7,5,,,
8,6,,,
9,7,,,
10,8,,,
11,9,,,
12,9,,,
13,10,,,
14,10,,,
15,12,,,
16,11,,,
17,14,,,
18,13,,,
19,15,,,
20,16,,,
21,16,,,
22,17,,,
23,18,,,
24,19,,,
25,19,,,
26,20,,,
27,21,,,
28,22,,,
29,22,,,
30,23,,,
31,24,,,
32,25,,,
33,26,,,
34,26,,,
35,27,,,
36,28,,,
37,29,,,
38,29,,,
39,30,,,
40,31,,,
41,31,,,
42,33,,,
43,33,,,
44,33,,,
45,35,,,
46,36,,,
47,36,,,
48,37,,,
49,38,,,
50,37,,,
51,39,,,
52,40,,,
53,41,,,
54,41,,,
55,42,,,
56,43,,,
57,44,,,
58,43,,,
59,45,,,
60,46,,,
61,47,,,
62,48,,,
63,48,,,
64,50,,,
65,49,,,
66,51,,,
67,52,,,
68,53,,,
69,53,,,
70,54,,,
71,55,,,
72,54,,,
73,56,,,
74,57,,,
75,58,,,
76,57,,,
77,59,,,
78,60,,,
79,61,,,
80,61,,,
81,62,,,
82,63,,,
83,64,,,
84,65,,,
85,66,,,
86,66,,,
87,67,,,
88,68,,,
89,68,,,
90,69,,,
91,70,,,
92,71,,,
93,72,,,
94,72,,,
95,73,,,
96,73,,,
97,75,,,
98,75,,,
99,76,,,
100,77,,,
101,78,,,
102,78,,,
103,79,,,
104,78,,,
105,81,,,
106,81,,,
107,82,,,
108,83,,,
109,84,,,
110,85,,,
111,84,,,
112,86,,,
113,87,,,
114,87,,,
115,88,,,
116,89,,,
117,90,,,
118,91,,,
119,91,,,
120,92,,,
121,93,,,
122,94,,,
123,94,,,
124,95,,,
125,96,,,
126,97,,,
127,98,,,
128,98,,,
129,99,,,
130,99,,,
131,101,,,
132,101,,,
133,102,,,
134,103,,,
135,104,,,
136,104,,,
137,105,,,
138,106,,,
139,107,,,
140,107,,,
141,108,,,
142,109,,,
143,109,,,
144,111,,,
145,111,,,
146,112,,,
147,113,,,
148,114,,,
149,114,,,
150,115,,,
151,115,,,
152,116,,,
153,117,,,
154,118,,,
155,119,,,
156,119,,,
157,120,,,
158,121,,,
159,122,,,
160,123,,,
161,124,,,
162,124,,,
163,125,,,
164,126,,,
165,127,,,
166,128,,,
167,127,,,
168,128,,,
169,130,,,
170,130,,,
171,131,,,
172,132,,,
173,133,,,
174,133,,,
175,134,,,
176,135,,,
177,135,,,
178,137,,,
179,137,,,
180,138,,,
181,139,,,
182,140,,,
183,140,,,
184,141,,,
185,142,,,
186,143,,,
187,144,,,
188,143,,,
189,145,,,
190,146,,,
191,147,,,
192,147,,,
193,147,,,
194,149,,,
195,150,,,
196,150,,,
197,151,,,
198,151,,,
199,152,,,
200,154,,,
201,153,,,
202,155,,,
203,156,,,
204,156,,,
205,157,,,
206,158,,,
207,158,,,
208,160,,,
209,160,,,
210,161,,,
211,162,,,
212,163,,,
213,163,,,
214,164,,,
215,165,,,
216,165,,,
217,166,,,
218,167,,,
219,166,,,
220,168,,,
221,169,,,
222,170,,,
223,171,,,
224,172,,,
225,172,,,
226,174,,,
227,173,,,
228,175,,,
229,175,,,
230,176,,,
231,177,,,
232,178,,,
233,179,,,
234,179,,,
235,180,,,
236,181,,,
237,182,,,
238,182,,,
239,183,,,
240,184,,,
241,184,,,
242,186,,,
243,187,,,
244,186,,,
245,188,,,
246,188,,,
247,190,,,
248,189,,,
249,191,,,
250,192,,,
251,193,,,
252,192,,,
253,194,,,
254,195,,,
255,194,,,
256,196,,,
257,197,,,
258,198,,,
259,199,,,
260,198,,,
261,200,,,
262,201,,,
263,202,,,
264,203,,,
265,203,,,
266,203,,,
267,205,,,
268,206,,,
269,206,,,
270,207,,,
271,208,,,
272,207,,,
273,209,,,
274,210,,,
275,211,,,
276,211,,,
277,212,,,
278,213,,,
279,214,,,
280,215,,,
281,215,,,
282,216,,,
283,217,,,
284,218,,,
285,219,,,
286,219,,,
287,219,,,
288,221,,,
289,222,,,
290,222,,,
291,223,,,
292,223,,,
293,225,,,
294,225,,,
295,226,,,
296,227,,,
297,228,,,
298,229,,,
299,229,,,
300,230,,,
301,231,,,
302,231,,,
303,232,,,
304,232,,,
305,234,,,
306,234,,,
307,235,,,
308,236,,,
309,237,,,
310,238,,,
311,238,,,
312,239,,,
313,240,,,
314,241,,,
315,242,,,
316,242,,,
317,242,,,
318,244,,,
319,244,,,
320,245,,,
321,246,,,
322,246,,,
323,247,,,
324,248,,,
325,249,,,
326,250,,,
327,251,,,
328,251,,,
329,252,,,
330,253,,,
331,254,,,
332,254,,,
333,255,,,
334,256,,,
335,257,,,
336,257,,,
337,259,,,
338,258,,,
339,259,,,
340,261,,,
341,261,,,
342,262,,,
343,263,,,
344,264,,,
345,263,,,
346,265,,,
347,266,,,
348,266,,,
349,268,,,
350,268,,,
351,268,,,
352,270,,,
353,269,,,
354,271,,,
355,272,,,
356,273,,,
357,273,,,
358,274,,,
359,275,,,
360,276,,,
361,277,,,
362,277,,,
363,278,,,
364,278,,,
365,279,,,
366,281,,,
367,281,,,
368,282,,,
369,283,,,
370,283,,,
371,284,,,
372,285,,,
373,286,,,
374,287,,,
375,286,,,
376,288,,,
377,289,,,
378,290,,,
379,290,,,
380,291,,,
381,292,,,
382,293,,,
383,294,,,
384,293,,,
385,294,,,
386,296,,,
387,296,,,
388,297,,,
389,298,,,
390,299,,,
391,299,,,
392,300,,,
393,301,,,
394,302,,,
395,303,,,
396,303,,,
397,304,,,
398,304,,,
399,306,,,
400,307,,,
401,306,,,
402,308,,,
403,309,,,
404,309,,,
405,310,,,
406,311,,,
407,312,,,
408,313,,,
409,313,,,
410,314,,,
411,315,,,
412,316,,,
413,317,,,
414,317,,,
415,318,,,
416,319,,,
417,320,,,
418,320,,,
419,321,,,
420,321,,,
421,323,,,
422,324,,,
423,324,,,
424,325,,,
425,325,,,
426,327,,,
427,326,,,
428,327,,,
429,328,,,
430,330,,,
431,329,,,
432,330,,,
433,332,,,
434,333,,,
435,333,,,
436,334,,,
437,335,,,
438,335,,,
439,336,,,
440,337,,,
441,338,,,
442,339,,,
443,339,,,
444,340,,,
445,341,,,
446,342,,,
447,343,,,
448,343,,,
449,343,,,
450,345,,,
451,345,,,
452,346,,,
453,347,,,
454,348,,,
455,348,,,
456,349,,,
457,350,,,
458,350,,,
459,352,,,
460,352,,,
461,353,,,
462,354,,,
463,355,,,
464,355,,,
465,356,,,
466,357,,,
467,358,,,
468,358,,,
469,359,,,
470,360,,,
471,359,,,
472,362,,,
473,362,,,
474,363,,,
475,364,,,
476,365,,,
477,365,,,
478,366,,,
479,367,,,
480,368,,,
481,368,,,
482,369,,,
483,370,,,
484,371,,,
485,372,,,
486,372,,,
487,373,,,
488,374,,,
489,374,,,
490,375,,,
491,376,,,
492,377,,,
493,378,,,
494,378,,,
495,379,,,
496,380,,,
497,380,,,
498,382,,,
499,382,,,
500,383,,,
501,384,,,
502,385,,,
503,385,,,
504,386,,,
505,387,,,
506,387,,,
507,388,,,
508,389,,,
509,390,,,
510,390,,,
511,391,,,
512,392,,,
513,392,,,
514,394,,,
515,394,,,
516,395,,,
517,396,,,
518,397,,,
519,397,,,
520,398,,,
521,399,,,
522,400,,,
523,400,,,
524,402,,,
525,402,,,
526,403,,,
527,404,,,
528,404,,,
529,405,,,
530,406,,,
531,407,,,
532,408,,,
533,407,,,
534,409,,,
535,410,,,
536,411,,,
537,412,,,
538,412,,,
539,413,,,
540,413,,,
541,414,,,
542,415,,,
543,416,,,
544,417,,,
545,418,,,
546,417,,,
547,419,,,
548,420,,,
549,420,,,
550,421,,,
551,422,,,
552,423,,,
553,423,,,
554,424,,,
555,425,,,
556,426,,,
557,426,,,
558,428,,,
559,428,,,
560,429,,,
561,430,,,
562,430,,,
563,431,,,
564,432,,,
565,433,,,
566,434,,,
567,434,,,
568,435,,,
569,436,,,
570,437,,,
571,437,,,
572,438,,,
573,439,,,
574,439,,,
575,440,,,
576,441,,,
577,441,,,
578,443,,,
579,444,,,
580,445,,,
581,444,,,
582,446,,,
583,447,,,
584,447,,,
585,448,,,
586,449,,,
587,450,,,
588,451,,,
589,450,,,
590,452,,,
591,453,,,
592,453,,,
593,454,,,
594,455,,,
595,455,,,
596,457,,,
597,457,,,
598,458,,,
599,459,,,
600,458,,,
601,460,,,
602,461,,,
603,462,,,
604,462,,,
605,463,,,
606,464,,,
607,465,,,
608,466,,,
609,467,,,
610,467,,,
611,468,,,
612,469,,,
613,470,,,
614,471,,,
615,471,,,
616,471,,,
617,473,,,
618,473,,,
619,474,,,
620,475,,,
621,476,,,
622,477,,,
623,477,,,
624,478,,,
625,478,,,
626,479,,,
627,480,,,
628,480,,,
629,482,,,
630,483,,,
631,483,,,
632,484,,,
633,485,,,
634,485,,,
635,487,,,
636,486,,,
637,488,,,
638,488,,,
639,489,,,
640,490,,,
641,491,,,
642,492,,,
643,492,,,
644,494,,,
645,492,,,
646,495,,,
647,496,,,
648,495,,,
649,497,,,
650,497,,,
651,498,,,
652,500,,,
653,500,,,
654,500,,,
655,502,,,
656,503,,,
657,503,,,
658,504,,,
659,505,,,
660,505,,,
661,506,,,
662,507,,,
663,508,,,
664,508,,,
665,509,,,
666,510,,,
667,511,,,
668,512,,,
669,512,,,
670,513,,,
671,514,,,
672,515,,,
673,516,,,
674,516,,,
675,517,,,
676,518,,,
677,518,,,
678,520,,,
679,519,,,
680,520,,,
681,522,,,
682,523,,,
683,522,,,
684,524,,,
685,524,,,
686,525,,,
687,526,,,
688,526,,,
689,528,,,
690,528,,,
691,529,,,
692,530,,,
693,531,,,
694,532,,,
695,533,,,
696,532,,,
697,534,,,
698,535,,,
699,535,,,
700,536,,,
701,537,,,
702,537,,,
703,538,,,
704,539,,,
705,540,,,
706,541,,,
707,542,,,
708,543,,,
709,542,,,
710,544,,,
711,544,,,
712,546,,,
713,546,,,
714,547,,,
715,548,,,
716,548,,,
717,549,,,
718,548,,,
719,551,,,
720,552,,,
721,551,,,
722,552,,,
723,554,,,
724,555,,,
725,555,,,
726,556,,,
727,556,,,
728,558,,,
729,559,,,
730,559,,,
731,560,,,
732,561,,,
733,560,,,
734,562,,,
735,563,,,
736,563,,,
737,564,,,
738,565,,,
739,566,,,
740,567,,,
741,567,,,
742,568,,,
743,569,,,
744,570,,,
745,570,,,
746,571,,,
747,572,,,
748,573,,,
749,573,,,
750,574,,,
751,575,,,
752,576,,,
753,577,,,
754,577,,,
755,578,,,
756,579,,,
757,580,,,
758,580,,,
759,581,,,
760,582,,,
761,583,,,
762,583,,,
763,584,,,
764,585,,,
765,586,,,
766,587,,,
767,588,,,
768,588,,,
769,589,,,
770,590,,,
771,591,,,
772,591,,,
773,592,,,
774,593,,,
775,594,,,
776,593,,,
777,595,,,
778,596,,,
779,597,,,
780,598,,,
781,598,,,
782,599,,,
783,599,,,
784,601,,,
785,600,,,
786,602,,,
787,600,,,
788,603,,,
789,604,,,
790,605,,,
791,606,,,
792,607,,,
793,607,,,
794,608,,,
795,609,,,
796,610,,,
797,610,,,
798,611,,,
799,612,,,
800,613,,,
801,614,,,
802,614,,,
803,615,,,
804,616,,,
805,617,,,
806,618,,,
807,617,,,
808,618,,,
809,619,,,
810,620,,,
811,621,,,
812,622,,,
813,623,,,
814,623,,,
815,624,,,
816,625,,,
817,626,,,
818,627,,,
819,627,,,
820,628,,,
821,629,,,
822,630,,,
823,630,,,
824,631,,,
825,632,,,
826,632,,,
827,634,,,
828,634,,,
829,635,,,
830,635,,,
831,637,,,
832,637,,,
833,637,,,
834,638,,,
835,639,,,
836,640,,,
837,641,,,
838,642,,,
839,643,,,
840,643,,,
841,644,,,
842,645,,,
843,645,,,
844,646,,,
845,647,,,
846,647,,,
847,649,,,
848,650,,,
849,650,,,
850,651,,,
851,652,,,
852,652,,,
853,653,,,
854,654,,,
855,655,,,
856,656,,,
857,656,,,
858,657,,,
859,658,,,
860,659,,,
861,658,,,
862,660,,,
863,661,,,
864,662,,,
865,662,,,
866,663,,,
867,664,,,
868,665,,,
869,665,,,
870,666,,,
871,667,,,
872,668,,,
873,668,,,
874,670,,,
875,670,,,
876,671,,,
877,672,,,
878,672,,,
879,673,,,
880,674,,,
881,675,,,
882,674,,,
883,676,,,
884,676,,,
885,678,,,
886,679,,,
887,679,,,
888,680,,,
889,680,,,
890,682,,,
891,681,,,
892,683,,,
893,683,,,
894,684,,,
895,686,,,
896,685,,,
897,687,,,
898,688,,,
899,689,,,
900,689,,,
901,690,,,
902,691,,,
903,692,,,
904,692,,,
905,693,,,
